
2025/03/01 (15:17:49) | ===> btop++ v.1.4.0
2025/03/01 (15:17:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (19:15:02) | ===> btop++ v.1.4.0
2025/03/01 (19:15:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/01 (20:40:38) | ===> btop++ v.1.4.0
2025/03/01 (20:40:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (11:23:51) | ===> btop++ v.1.4.0
2025/03/02 (11:23:51) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (11:23:57) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (11:27:21) | ===> btop++ v.1.4.0
2025/03/02 (11:27:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (14:36:11) | ===> btop++ v.1.4.0
2025/03/02 (14:36:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (15:48:13) | ===> btop++ v.1.4.0
2025/03/02 (15:48:13) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (15:48:37) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (15:48:43) | ===> btop++ v.1.4.0
2025/03/02 (15:48:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (15:49:23) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (16:31:48) | ===> btop++ v.1.4.0
2025/03/02 (16:31:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (16:34:45) | ===> btop++ v.1.4.0
2025/03/02 (16:34:45) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/02 (16:34:46) | WARNING: Failed to join _runner thread on exit!

2025/03/02 (22:30:49) | ===> btop++ v.1.4.0
2025/03/02 (22:30:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (11:41:23) | ===> btop++ v.1.4.0
2025/03/03 (11:41:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (11:53:09) | ===> btop++ v.1.4.0
2025/03/03 (11:53:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (13:35:07) | ===> btop++ v.1.4.0
